演员,类型,整理后剧名,上映时间,语言,评分,地区,导演,差评数,评分人数,播放量,好评数
ELLA/吴尊/汪东城/唐禹哲/唐治平/阮经天/张皓明/龚继安/郭静纯,言情剧/偶像剧/青春剧/粤语电视剧/超清1080P,花样少年少女,2006,国语,8.8,台湾,林清芳/王明台,5498,45800,26090000,40302
UEE/崔宇植/任瑟雍,言情剧/剧情/都市/粤语电视剧/超清1080P,浩9的爱情,2015,韩语,8,韩国,表民洙,2065,10265,6140000,8200
Weir Sukollwat/Usamanee Vaithayanon/查亚鹏·普帕特,偶像剧/言情剧/剧情/年代剧/粤语电视剧/超清1080P,命定之爱国语,2007,国语,8.5,泰国,未知,5458,35846,38190000,30388
丁勇岱,罪案剧/剧情/粤语电视剧/超清1080P,末路1997,2000,国语,7.5,内地,陈国军,963,3832,10360000,2869
丁勇岱/刘威葳/郭涛/周晓鸥,剧情/都市/粤语电视剧,暗伤,2006,国语,6,内地,高群书,279,691,2150000,412
丁勇岱/刘欣,剧情/都市/悬疑剧/粤语电视剧,威胁,2003,国语,5.3,内地,陈国军,358,759,1850000,401
丁勇岱/梁静/刘金山/海一天,罪案剧/剧情/都市/粤语电视剧,水晶眼,2006,国语,6,内地,常猛,223,554,1240000,331
丁勇岱/谢兰,言情剧/剧情/年代剧/粤语电视剧/超清1080P,驼道,1995,国语,6.2,内地,史晨风,104,275,519000,171
丁勇岱/陈瑾/曹克难/石维坚/王诗槐/宋春丽,罪案剧/剧情/都市/粤语电视剧,不堪回首,2005,国语,5.8,内地,唐敬睿,73,172,433000,99
丁志成/张彤/王海地/沈丹萍/赵曦/尹国华,罪案剧/剧情/粤语电视剧,凝视黑夜,2001,国语,5.8,内地,陈胜利,397,936,2130000,539
丁志诚/刘斌,剧情/悬疑剧/粤语电视剧,永不言败,2005,国语,5.3,内地,张来京,440,942,2000000,502
丁志诚/郝蕾/傅 彪/鲍国安/徐 峥/崔 波/何琳,宫廷剧/古装剧/剧情/粤语电视剧,新铡美案,2005,国语,6,内地,陈晓雷,556,1375,2390000,819
丁海峰/伊春德/陶玉玲/赵亮,剧情/年代剧/谍战剧/粤语电视剧,杜鹃山,2008,国语,5.7,内地,张绍林,140,323,2080000,183
丁海峰/徐筠/薛山/王奎荣/高明/王亚军,剧情/年代剧/谍战剧/粤语电视剧,眼中钉,2008,国语,6,内地,俞钟,291,732,2830000,441
丁海峰/王海燕/牛莉,言情剧/年代剧/剧情/都市/粤语电视剧,野百合也有春天,2007,国语,5.5,内地,张晓强,335,750,2330000,415
丁海峰/田海蓉/郑晓宁/唐静/刘跃军/吴樾/吴卫东/郭东文/王志刚(i)/张汇仓,军旅剧/谍战剧/粤语电视剧/超清1080P,将门风云,2006,国语,6,内地,郑晓龙,1119,2792,9960000,1673
丁海峰/莫小奇/史兰芽/王新民,商战剧/剧情/都市/粤语电视剧,挣扎,2007,国语,5.9,内地,李平,678,1657,3720000,979
