演员, 类型, 整理后剧名, 上映时间, 语言, 评分, 地区, 导演, 差评数, 评分人数, 播放量, 好评数
ELLA/吴尊/汪东城/唐禹哲/唐治平/阮经天/张皓明/龚继安/郭静纯, 言情剧/偶像剧/青春剧/粤语电视剧/超清1080P, 花样少年少女, 2006.0, 国语, 8.8, 台湾, 林清芳/王明台, 5498.0, 45800.0, 26090000.0, 40302.0
UEE/崔宇植/任瑟雍, 言情剧/剧情/都市/粤语电视剧/超清1080P, 浩9的爱情, 2015.0, 韩语, 8.0, 韩国, 表民洙, 2065.0, 10265.0, 6140000.0, 8200.0
Weir Sukollwat/Usamanee Vaithayanon/查亚鹏·普帕特, 偶像剧/言情剧/剧情/年代剧/粤语电视剧/超清1080P, 命定之爱国语, 2007.0, 国语, 8.5, 泰国, 未知, 5458.0, 35846.0, 38190000.0, 30388.0
丁勇岱, 罪案剧/剧情/粤语电视剧/超清1080P, 末路1997, 2000.0, 国语, 7.5, 内地, 陈国军, 963.0, 3832.0, 10360000.0, 2869.0
丁勇岱/刘威葳/郭涛/周晓鸥, 剧情/都市/粤语电视剧, 暗伤, 2006.0, 国语, 6.0, 内地, 高群书, 279.0, 691.0, 2150000.0, 412.0
丁勇岱/刘欣, 剧情/都市/悬疑剧/粤语电视剧, 威胁, 2003.0, 国语, 5.3, 内地, 陈国军, 358.0, 759.0, 1850000.0, 401.0
丁勇岱/梁静/刘金山/海一天, 罪案剧/剧情/都市/粤语电视剧, 水晶眼, 2006.0, 国语, 6.0, 内地, 常猛, 223.0, 554.0, 1240000.0, 331.0
丁勇岱/谢兰, 言情剧/剧情/年代剧/粤语电视剧/超清1080P, 驼道, 1995.0, 国语, 6.2, 内地, 史晨风, 104.0, 275.0, 519000.0, 171.0
丁勇岱/陈瑾/曹克难/石维坚/王诗槐/宋春丽, 罪案剧/剧情/都市/粤语电视剧, 不堪回首, 2005.0, 国语, 5.8, 内地, 唐敬睿, 73.0, 172.0, 433000.0, 99.0
丁志成/张彤/王海地/沈丹萍/赵曦/尹国华, 罪案剧/剧情/粤语电视剧, 凝视黑夜, 2001.0, 国语, 5.8, 内地, 陈胜利, 397.0, 936.0, 2130000.0, 539.0
