name,lastName,age,country,gender,wealthSource,,,
Alice Walton, Walton,68, United States,F, Walmart,,,
Francoise Bettencourt Meyers, Bettencourt Meyers,64, France,F, "LOreal"],,,
Susanne Klatten, Klatten,56, Germany,F, BMW, pharmaceuticals,,
Jacqueline Mars, Mars,78, United States,F, candy, pet food,,
Yang Huiyan, Yang,36, China,F, real estate,,,
Laurene Powell Jobs, Powell Jobs,54, United States,F, Apple, Disney,,
Gina Rinehart, Rinehart,64, Australia,F, mining,,,
Iris Fontbona, Fontbona,75, Chile,F, mining,,,
Abigail Johnson, Johnson,56, United States,F, money management,,,
Charlene de Carvalho-Heineken, de Carvalho-Heineken,63, Netherlands,F, Heineken,,,
Blair Parry-Okeden, Parry-Okeden,68, United States,F, media,,,
Savitri Jindal, Jindal,68, India,F, steel,,,
Katharine Rayner, Rayner,73, United States,F, media,,,
Margaretta Taylor, Taylor,76, United States,F, media,,,
Massimiliana Landini Aleotti, Landini Aleotti,75, Italy,F, pharmaceuticals,,,
Zhou Qunfei, Zhou,48, Hong Kong,F, smartphone screens,,,
Wu Yajun, Wu,54, China,F, real estate,,,
Pauline MacMillan Keinath, Keinath,84, United States,F, Cargill,,,
Christy Walton, Walton,69, United States,F, Walmart,,,
Carrie Perrodo, Perrodo,67, France,F, oil,,,
Pollyanna Chu, Chu,60, Hong Kong,F, financial services,,,
Sandra Ortega Mera, Ortega Mera,49, Spain,F, Zara,,,
Chan Laiwa, Chan,77, China,F, real estate,,,
Ann Walton Kroenke, Kroenke,69, United States,F, Walmart,,,
Kirsten Rausing, Rausing,66, Sweden,F, packaging,,,
Antonia Johnson, Johnson,74, Sweden,F, diversified,,,
Maria-Elisabeth Schaeffler-Thumann, Schaeffler-Thumann,76, Germany,F, auto parts,,,
Maria Asuncion Aramburuzabala, Aramburuzabala,55, Mexico,F, beer, investments,,
Marijke Mars, Mars,53, United States,F, candy, pet food,,
Pamela Mars, Mars,57, United States,F, candy, pet food,,
Valerie Mars, Mars,59, United States,F, candy, pet food,,
Victoria Mars, Mars,61, United States,F, candy, pet food,,
Nancy Walton Laurie, Laurie,67, United States,F, Walmart,,,
Friede Springer, Springer,75, Germany,F, publishing,,,
Shari Arison, Arison,60, Israel,F, Carnival Cruises,,,
Dannine Avara, Avara,54, United States,F, pipelines,,,
Rahel Blocher, Blocher,42, Switzerland,F, chemicals,,,
Milane Frantz, Frantz,48, United States,F, pipelines,,,
Diane Hendricks, Hendricks,71, United States,F, roofing,,,
Magdalena Martullo-Blocher, Martullo-Blocher,49, Switzerland,F, chemicals,,,
Randa Williams, Williams,56, United States,F, pipelines,,,
Marie Besnier Beauvalot, Besnier Beauvalot,37, France,F, cheese,,,
Sofie Kirk Kristiansen, Kristiansen,42, Denmark,F, Lego,,,
Margarita Louis-Dreyfus, Louis-Dreyfus,56, Switzerland,F, commodities,,,
Pansy Ho, Ho,55, Hong Kong,F, casinos,,,
Elisabeth Mohn, Mohn,77, Germany,F, publishing,,,
Maria Fernanda Amorim, Amorim,83, Portugal,F, energy, investments,,
Ronda Stryker, Stryker,64, United States,F, medical equipment,,,
Denise Coates, Coates,50, United Kingdom,F, online gambling,,,
Martha Ingram, Ingram,82, United States,F, book distribution, transportation,,
Gabriella Meister, Meister,70, Germany,F, appliances,,,
Karen Pritzker, Pritzker,60, United States,F, hotels, investments,,
Gwendolyn Sontheim Meyer, Meyer,56, United States,F, Cargill,,,
Alexandra Schoerghuber, Schoerghuber,59, Germany,F, real estate,,,
Dona Bertarelli, Bertarelli,50, Switzerland,F, biotech,,,
Tamara Gustavson, Gustavson,56, United States,F, self storage,,,
Renate Reimann-Haas, Reimann-Haas,66, Germany,F, consumer goods,,,
Marianne Liebmann, Liebmann,64, United States,F, Cargill,,,
Fan Hongwei, Fan,51, China,F, petrochemicals,,,
Dagmar Dolby, Dolby,76, United States,F, Dolby Laboratories,,,
Traudl Engelhorn, Engelhorn,91, Germany,F, pharmaceuticals, medical equipment,,
Daniela Herz, Herz,64, Germany,F, coffee,,,
Zeng Fangqin, Zeng,52, China,F, smartphone components,,,
Helen Johnson-Leipold, Johnson-Leipold,61, United States,F, cleaning products,,,
Winifred Johnson-Marquart, Johnson-Marquart,59, United States,F, cleaning products,,,
Angela Leong, Leong,57, Hong Kong,F, casinos,,,
Elizabeth Johnson, Johnson,55, United States,F, money management,,,
Kiran Mazumdar-Shaw, Mazumdar-Shaw,65, India,F, biotech,,,
Zhang Xin, Zhang,52, China,F, real estate,,,
Anita Zucker, Zucker,66, United States,F, chemicals,,,
Giuliana Benetton, Benetton,80, Italy,F, fashion retail, investments,,
Judy Faulkner, Faulkner,74, United States,F, health IT,,,
Heidi Horten, Horten,77, Austria,F, retail,,,
Melissa Ma, Ma,48, China,F, internet search,,,
