,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
0,数据分析（GIS方向）,https://www.lagou.com/jobs/6352539.html,杨浦区,15k-20k,上海树融数据科技有限公司,3-5年,硕士,扁平化管理,快速成长,与大牛共事,职责描述：1.主要为城市数据（交通、规划、地理信息、人口、运营商等数据）分析，模型构建、算法设计与开发；2.负责GIS相关模块的设计和研发；3.能够基于数据分析得到有价值的信息，为业务发展提供策略；4.协助各业务部门完成数据整理、分析与利用，及时提供支持方面的工作。任职要求：1.硕士及以上学历，1年以上GIS研发相关工作经验；2.熟练掌握R, python等编程语言种的一种或多种；3.熟悉RDF规范与SPARQL查询语言；4.具有良好的学习、领悟能力，善于沟通协调。,,,,,,,,,,,,,,,,,
1,数据分析师,https://www.lagou.com/jobs/6352950.html,嘉定区,8k-15k,上海景域文化传播股份有限公司,3-5年,本科,平台佳,提升快,氛围好,工作职责：1、BOSS系统开发；2、数据魔方系统开发3、SQL分析开发；4、数据分析模型开发；5、Tableau分析开发；任职要求：1、本科及以上学历，2年以上相关工作经验，擅长Tableau分析开发；2、擅长复杂SQL开发、调优、分析；3、熟练数据分析，有相应工作经验；4、责任心强、耐心、踏实、努力； 沟通随和、团队合作好。,,,,,,,,,,,,,,,,,,
3,数据部-数据分析师（SH）,https://www.lagou.com/jobs/6349129.html,长宁区,20k-30k,途家网网络技术（北京）有限公司,3-5年,硕士,发展前景好、绩效奖金、期权激励,工作职责：1、通过SQL收集数据，分析流量、活动、订单等核心数据，形成可视化报表；2、分析用户行为、特性等，产出可行性的产品改进方案；3、挖掘数据背后的市场方向、规律、短板、为业务提供决策依据；4、按照业务需求，收集各个维度的数据，提出改善运营质量的方法和建议任职资格：1、3年以上互联网数据经验2、逻辑能力强，擅长数据分析与需求调研3、有很强的数据调研分析能力，能清晰的给出产品定位，能深刻理解用户需求，从而提炼出产品的关键要素和核心功能4、在线旅行产品相关经验者优先5、良好的承压能力,,,,,,,,,,,,,,,,,,,,
4,数据分析师,https://www.lagou.com/jobs/6349406.html,杨浦区,25k-50k,遨游酒店信息技术(深圳)有限责任公司,5-10年,本科,弹性上下班;团队有趣;晚餐;打车报销,职位职责：\xa01、负责商业化指标体系建设和完善，通过对业务的敏锐洞察和理解，构建合理的评价体系，衡量业务发展情况；\xa02、能根据实际业务分析需求，迅速搭建业务监控体系，挖掘流量、产品、策略方面的商业变现机会，驱动商业化业务发展；\xa0职位要求：\xa01、计算机、统计学、数学、经济学等相关专业，扎实的机器学习或数据挖掘理论和技术基础，具有相关领域较深入的技术应用的经验和能力；\xa02、有BI产品建设经验，对用户体验敏感；\xa03、良好的沟通能力、团队合作精神、工作规划能力和主动意识；\xa04、良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立领导完整的项目；,,,,,,,,,,,,,,,,,,,,
5,数据分析师,https://www.lagou.com/jobs/6265017.html,浦东新区,15k-30k,沪江教育科技（上海）股份有限公司,3-5年,本科,发展空间大，工作氛围好,岗位要求：1、与产品、运营紧密协作，独立承担基础数据处理、报表开发、数据分析等相关数据工作；2、根据业务发展及变动，不断优化业务数据链路和指标框架。并进行专题性分析，为运营决策提供数据支持；3、结合行业数据、业界动态和市场趋势，为长期业务发展方向提供战略分析；任职资格：1、本科以上学历，3年及以上互联网、电商行业数据分析工作经验；2、极强的好奇心和探索欲望，学习能力强，对新事物保持敏感，逻辑性好；3、优秀的信息搜集、分析、撰写报告能力，善于进行系统性思考；4、掌握概率、统计学的原理和方法，熟练使用sql、excel、SPSS或R、Python等数据分析和统计分析工具；,,,,,,,,,,,,,,,,,,,,
7,数据分析师,https://www.lagou.com/jobs/6333542.html,徐汇区,3k-5k,上海唯都市场营销策划股份有限公司,应届毕业生,本科,500强企业项目，500强企业园区,你需要做：1. 支持各种常规或临时数据分析需求，提供各类业务相关的分析及建议；2. 通过建模深入挖掘用户或产品方面的有价值的信息；3. 和各部门沟通协调需求并提出各种新的数据分析项目或方案；4. 持续地改进数据采集、处理、分析、报告等各个流程上的工作。\xa0你需要有：1. 数学、统计、计算机及相关专业本科以上学历；2. 有出色的数据处理、分析能力，对数据敏感，能够从日常数据中分析用户行为、深度挖掘用户需求并提出优化建议；3. 熟悉一种或者几种数据分析方面的工具，比如SQL、Excel(VBA)、SPSS、R、Python等；4. 熟悉一种或者几种主流数据库, 如Mysql、Oracle、MS SQL Server 、Teradata等；\xa0发展路径：数据分析管培生——>数据分析师——>高级分析师——>数据分析经理,,,,,,,,,,,,,,,,,,,
8,高级数据分析师,https://www.lagou.com/jobs/6016003.html,徐汇区,1k-2k,宜家（中国）投资有限公司,5-10年,本科,员工餐厅 企业年金 超长年假 外企福利,职责描述：You have knowledge in following areas:? Knowledge of cleaning data and how to deal with imperfections in data, including defining corrective actions to improve quality if needed? Knowledge how to leverage large data sets in answering business questions? Extensive knowledge in large datasets and of data set processes for data modelling, mining and production.? Experience with DevOps and agile development practices, in which requirements and solutions evolve through the collaborative effort of self-organizing cross-functional teams? Knowledge of IKEAs corporate identity, core values and vision of creating a better everyday life for the many people岗位职责：? Responsible for collecting and analysing business data to perform industry research and derive answers and insights on business questions, presented and reported through using various reporting tools? Leverage data assets by data collection and processing, to provide day-to-day meaningful and actionable strategic and operational insights? Problem solving for data quality issues from source systems and propose corrective actions for IT system or process improvements to step up data quality and timeliness over time? Responsible for automating data cleaning processes, to be able to deliver insights to the business stakeholders on a periodical basis? Support data driven decision on product and strategy by visualisation of data and enable change through extensive knowledge of the business drivers that make the product successful? Disclose trends and metrics from sources of raw data to increase efficiency of the organisation? Apply strong written and verbal communication skills in storytelling, supported by visualisation of data, focused on other stakeholders both in data science and business.? Manage medium-scale modelling projects, focused on collecting and cleaning data, in processes that are able to adapt to changing attributes? Work closely together with other data analysts and cross functions to produce all required design specifications and ensure that data solutions work together and fulfil business needs? Updating the common Group Digital site on standards and methods when necessary to ensure alignment across Group Digital? Support chapter lead in coaching and develop junior team members on functional expertise? Work across initiatives within INGKA Group, steering towards data-driven solution,,,,,,,,
10,高级数据分析师,https://www.lagou.com/jobs/3140317.html,静安区,15k-20k,北京国双科技有限公司,3-5年,本科,大数据上市公司，氛围好，牛人多,岗位职责：1.独立开展和完成行业/指定客户报告与咨询工作，包括：报告主题规划、信息收集和整理、数据处理和分析、报告撰写讲解等；2.掌握并精通使用国双自有数据及舆情监测分析工具的操作使用；3.长期跟踪指定行业的动态和发展，对行业热点事件做出及时分析评论，定期对行业发展进行全面深入研究并形成报告；4.配合BD或销售同事或项目经理，与客户进行数据或报告合作需求洽谈，并给予方案设计和实施执行；5.同时利用国双监测的媒体、网站数据为客户做媒体效果、用户行为数据分析。岗位要求：1、学历：本科或以上学历，计算机、统计、数理科专业优先；2、工作经验：拥有5年以上广告/网站监测工具使用经验，GA或Omniture网站分析工具公司经验者优先；3、综合素质：优秀的逻辑分析能力和良好的沟通互动能力，具有团队合作精神，执行力强；具有专业服务意识和工作热情，思路清晰，学习能力强，能承担较大压力；4、其他能力：精通Office软件使用（Word，Excel和PPT），英语听说读写流利者优先。,,,,,,,,,,,,,,,,,,,,
11,数据分析,https://www.lagou.com/jobs/6348832.html,普陀区,7k-12k,上海联元智能科技有限公司,应届毕业生,硕士,五险一金 绩效奖金 弹性工作 补充公积金,岗位职责1、 与市场/业务开拓人员配合，参与客户沟通，理解业务需求，理解数据环境，界定数据分析问题，并制定数据分析方案；2、 与数据开发及ETL人员配合，从数据库、服务商或用能企业方，获取数据，并进行相应的数据准备；3、 深入理解业务需求，基于业务数据进行数据探索、特征提取，选择分析方法或模型，并形成符合业务的分析结果；4、 与需求部门协作，编写分析报告及其他交付成果，并协助实现数据价值应用；5、 配合数据开发工程师，完成模型部署后的业务验证、反馈。岗位要求学历要求：211/985学校，硕士及以上学历专业要求：统计学、数学、应用数学、计量经济学或其他量化分析相关专业，电力背景优先岗位要求：1、 期望2周内入职，每周实习3天以上，有留任计划的优先。2、 学习能力强、逻辑严谨简洁、工作独立负责、语言流畅（书面、口头）、能够有效阅读中英文文献；3、 熟悉数据结构，熟悉数据探索方法，熟悉数据清洗、降维等数据准备过程，能够结合业务场景和数据条件有效完成数据清洗、数据描述和数据准备；4、 熟悉回归、分类、聚类、关联规则、时间序列、神经网络、决策树及其他常用统计分析和数据挖掘技术，了解其算法原理和适用性，能够根据应用场景选择适当的方法，并通过数据分析工具实现；5、 能够准确把握数据特征，并有效地对数据和分析结果作可视化展示；6、 能够熟练使用至少一种主流关系数据库及结构化查询语言，对Hadoop, Spark, HIVE等大数据架构、环境及数据仓库有所了解；7、 熟练掌握Python、R、SAS、Matlab等数据分析工具中的至少一种。,,,,,,,,,,,,,,,,,,
12,大数据需求分析师,https://www.lagou.com/jobs/6354082.html,嘉定区,15k-25k,上海久耶供应链管理有限公司,3-5年,本科,双休+法定节假日+生日福利+节日福利,岗位职责：1、负责供应链业务的策略、数据方向的规划；2、负责数据产品规划、需求分析和设计，与业务部门进行数据需求沟通，能体系化的梳理出数据需求并落地成数据产品；3、负责在项目推进过程中的跨部门协调工作，数据产品推广实施；4、跟踪大数据应用市场动向，市场竞争对手分析，及时调整市场策略，创新产品应用 。任职要求：1、本科及以上学历，3年以上相关工作经验，数学、数理统计或计算机相关专业者优先考虑；2、熟练使用SQL，有平台型数据产品设计经验，会使用BI相关分析工具；3、具备专业的数据分析能力，具备专业的业务分析能力及供应链，能为业务部门提供实质性运营数据；4、对数据敏感，信仰、热爱数据。,,,,,,,,,,,,,,,,,,,,
