, Gender, 我觉得数学很有趣, 我在数学考试的时候会紧张, 我认为我未来会使用到数学, 数学考试时，我的脑子一片空白，无法清晰的思考, 数学与我的生活相关, 我会担心我的数学问题解决能力, 每当我准备做数学题时，就会有不详的预感, 我觉得数学很挑战, 数学让我感到很紧张, 我想参加更多的数学课程, 数学让我感到不安, 数学是我最喜欢的科目之一, 我喜欢学习数学, 数学让我感到困惑
1, Female, Disagree, Strongly Agree, Neutral, Agree, Disagree, Agree, Agree, Strongly Agree, Strongly Agree, Agree, Strongly Agree, Strongly Disagree, Disagree, Agree
2, Female, Strongly Agree, Strongly Disagree, Strongly Agree, Strongly Disagree, Agree, Strongly Disagree, Strongly Disagree, Strongly Disagree, Strongly Disagree, Agree, Strongly Disagree, Agree, Agree, Strongly Disagree
3, Male, Strongly Agree, Strongly Disagree, Strongly Agree, Disagree, Agree, Disagree, Disagree, Neutral, Disagree, Disagree, Disagree, Neutral, Neutral, Disagree
4, Female, Agree, Agree, Strongly Agree, Disagree, Agree, Neutral, Neutral, Neutral, Disagree, Neutral, Disagree, Neutral, Neutral, Neutral
5, Female, Agree, Strongly Agree, Strongly Agree, Neutral, Neutral, Neutral, Agree, Agree, Agree, Strongly Disagree, Agree, Strongly Disagree, Disagree, Agree
6, Female, Strongly Agree, Disagree, Strongly Agree, Strongly Disagree, Strongly Agree, Strongly Disagree, Strongly Disagree, Strongly Agree, Disagree, Neutral, Disagree, Agree, Agree, Strongly Disagree
7, Female, Agree, Disagree, Strongly Agree, Strongly Disagree, Strongly Agree, Disagree, Strongly Disagree, Neutral, Strongly Disagree, Disagree, Strongly Disagree, Agree, Agree, Disagree
8, Female, Agree, Agree, Strongly Agree, Neutral, Agree, Strongly Agree, Agree, Strongly Agree, Agree, Neutral, Agree, Disagree, Neutral, Agree
9, Female, Strongly Agree, Agree, Strongly Agree, Disagree, Disagree, Agree, Agree, Agree, Agree, Neutral, Agree, Neutral, Neutral, Disagree
10, Female, Strongly Disagree, Strongly Agree, Neutral, Strongly Agree, Disagree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Disagree, Strongly Agree, Strongly Disagree, Strongly Disagree, Strongly Agree
11, Female, Neutral, Disagree, Agree, Neutral, Agree, Agree, Neutral, Agree, Neutral, Strongly Disagree, Neutral, Strongly Disagree, Strongly Disagree, Agree
12, Female, Agree, Agree, Neutral, Disagree, Neutral, Neutral, Neutral, Agree, Neutral, Disagree, Neutral, Disagree, Disagree, Agree
13, Male, Agree, Disagree, Strongly Agree, Strongly Disagree, Strongly Agree, Strongly Disagree, Strongly Disagree, Disagree, Strongly Disagree, Agree, Strongly Disagree, Agree, Agree, Strongly Disagree
14, Female, Strongly Disagree, Strongly Agree, Neutral, Strongly Agree, Disagree, Agree, Strongly Disagree, Strongly Agree, Strongly Agree, Strongly Disagree, Strongly Agree, Strongly Disagree, Strongly Disagree, Strongly Agree
15, Male, Strongly Agree, Neutral, Agree, Disagree, Agree, Strongly Disagree, Strongly Disagree, Disagree, Strongly Disagree, Strongly Agree, Strongly Disagree, Strongly Agree, Strongly Agree, Disagree
16, Female, Disagree, Agree, Strongly Agree, Disagree, Strongly Agree, Neutral, Agree, Agree, Neutral, Disagree, Neutral, Strongly Disagree, Disagree, Agree
17, Male, Disagree, Neutral, Agree, Agree, Agree, Agree, Agree, Agree, Agree, Disagree, Agree, Disagree, Disagree, Strongly Agree
18, Male, Agree, Neutral, Agree, Strongly Disagree, Agree, Disagree, Disagree, Agree, Disagree, Neutral, Neutral, Neutral, Neutral, Neutral
19, Female, Neutral, Strongly Agree, Agree, Strongly Agree, Strongly Disagree, Agree, Agree, Agree, Agree, Neutral, Agree, Strongly Disagree, Neutral, Agree
20, Male, Strongly Agree, Neutral, Strongly Agree, Strongly Disagree, Strongly Agree, Disagree, Strongly Disagree, Agree, Disagree, Agree, Strongly Disagree, Neutral, Strongly Agree, Neutral
