,community_id,trade_time,days_on_market,total_price,unit_price,area_sqm,n_bed_room,n_living_room,n_kitchen,n_bathroom,building,building_type,construction_time,renovation_condition,building_structure,ladder_ratio,elevator,property_rights_for_five_years,subway,district,community_average
1938,1.11103E+12, 2016-08-15,158,9.75,42977,226.87,4,2,1,3, 中 15, 板塔结合,2009, 精装, 钢混,1,1,1,1, 朝阳,51255
55757,1.11103E+12, 2016-03-31,1,3.15,33904,92.91,2,2,1,1, 中 18, 板塔结合,2006, 简装, 钢混,0.5,1,1,0, 朝阳,46072
19825,1.11103E+12, 2016-07-29,14,6.15,73215,84,2,2,1,1, 高 26, 板塔结合,2007, 其他, 钢混,0.333,1,0,1, 朝阳,82517
12642,1.11103E+12, 2016-08-08,55,7.32,81569,89.74,2,1,1,1, 中 14, 板塔结合,2004, 精装, 钢混,0.25,1,1,1, 西城,89350
18317,1.11103E+12, 2016-08-11,34,2.8,46870,59.74,1,1,1,1, 中 33, 塔楼,2011, 精装, 钢混,0.3,1,0,1, 朝阳,56336
35804,1.11103E+12, 2016-09-16,2,4.88,51684,94.42,2,2,1,1, 中 25, 塔楼,2005, 精装, 钢混,0.3,1,0,1, 朝阳,51678
17389,1.11105E+12, 2016-08-09,37,16.8,76713,219,4,2,1,3, 低 9, 板楼,2013, 精装, 钢混,0.5,1,0,1, 朝阳,89873
44700,1.11103E+12, 2016-11-27,17,2.9,52375,55.37,1,1,1,1, 高 6, 板楼,2000, 精装, 混合,0.333,0,1,1, 朝阳,48667
6648,1.11103E+12, 2016-07-25,80,1.8,30000,60,2,1,1,1, 中 28, 塔楼,2005, 简装, 钢混,1,1,1,1, 丰台,48853
8605,1.11103E+12, 2016-08-15,85,2.7,73430,36.77,1,0,1,1, 低 26, 塔楼,2006, 精装, 钢混,0.111,1,1,1, 西城,92360
47934,1.11103E+12, 2016-12-24,7,5.88,71901,81.78,2,1,1,1, 中 14, 板塔结合,2001, 简装, 钢混,1,1,1,0, 丰台,61243
63718,1.11103E+12, 2016-03-26,1,6.3,46433,135.68,3,2,1,2, 低 25, 板塔结合,2010, 精装, 钢混,0.667,1,0,0, 石景山,57942
55824,1.11103E+12, 2016-04-10,1,2.85,31319,91,2,1,1,1, 高 28, 塔楼,2009, 精装, 钢混,0.333,1,1,0, 朝阳,46072
57482,1.11103E+12, 2016-03-06,1,3.23,50683,63.73,1,0,1,1, 高 23, 塔楼,2009, 精装, 钢混,0.304,1,1,1, 东城,78590
41003,1.11103E+12, 2016-10-28,18,5.5,62161,88.48,2,1,1,1, 低 6, 板楼,2000, 其他, 混合,0.5,0,0,1, 海淀,52911
25496,1.11103E+12, 2016-08-15,9,6.02,46113,130.55,3,1,1,2, 底 24, 塔楼,2004, 简装, 钢混,0.25,1,1,1, 朝阳,56631
26876,1.11103E+12, 2016-08-31,20,8.1,78741,102.87,2,2,1,1, 低 16, 塔楼,2001, 精装, 钢混,0.667,1,0,0, 东城,85711
52637,1.11103E+12, 2016-03-16,1,10.2,48837,208.86,3,2,1,2, 低 26, 板楼,2012, 简装, 钢混,1.5,1,0,1, 朝阳,77695
